app_name,category,rating,review,helpful_votes,version,date,user_name,developer_response
Coursera,Education,3.0,"Decent app, does what it says features this update Very the developer this update features the app design design features Really the developer Really performance",314,4.8.8,2023-09-17,user_3600,
SoundCloud,Music,4.0,Incredible features and smooth UI the app Slightly this update performance the developer Really Really the developer Extremely performance the developer features,95,2.5.1,2023-08-20,user_3317,
Lightroom,Photo & Video,5.0,"Five stars, highly recommend! this update features Slightly Slightly",179,3.2.8,2022-04-06,user_7937,We're working on it.
SoundCloud,Music,4.0,Absolutely love this app! Slightly features Slightly performance Very features Very Extremely performance this update this update,496,5.0.5,2023-09-25,user_3147,We're working on it.
MyFitnessPal,Health & Fitness,4.0,Super intuitive and fast Very the developer the developer features performance,267,1.6.5,2023-11-24,user_4891,Thank you for your feedback!
Amazon,Shopping,4.0,Incredible features and smooth UI Extremely Extremely features performance features Very the developer this update the app performance performance this update the app Very,385,2.9.2,2022-09-14,user_1854,Thank you for your feedback!
SoundCloud,Music,5.0,Great customer support too performance this update Very,100,1.2.4,2023-04-06,user_9410,
Duolingo,Education,4.0,"Best app on my phone, period. design design features the app Slightly Slightly Slightly",80,1.5.3,2022-01-29,user_6221,
Netflix,Entertainment,4.0,Can't imagine life without it Very Extremely design the developer,1,2.7.7,2023-09-23,user_1086,
Fortnite,Games,4.0,Incredible features and smooth UI design this update performance this update Very Extremely,53,3.1.0,2022-09-02,user_7878,We're working on it.
Coursera,Education,,"Too many ads, ruins the experience design the app this update",223,5.9.3,2022-05-28,user_5772,Thank you for your feedback!
Minecraft,Games,5.0,Works flawlessly on my iPhone Extremely the app the developer Really features Really this update this update features this update Slightly,402,4.0.6,2023-01-18,user_5155,
Apple Music,Music,5.0,"Best app on my phone, period. Extremely the developer Very this update performance Very Slightly Slightly the developer design the developer",52,4.2.2,2022-03-06,user_8498,
VSCO,Photo & Video,4.0,Changed my daily routine for the better performance,159,1.5.4,2023-06-12,user_7524,We're working on it.
Robinhood,Finance,5.0,Incredible features and smooth UI performance,246,2.4.5,2022-02-18,user_6438,
Pokemon GO,Games,5.0,Can't imagine life without it design performance design Slightly features the app the app features this update design performance Really the developer,202,2.8.4,2022-11-25,user_2680,
Canva,Photo & Video,4.0,Incredible features and smooth UI the app performance Very the app the app performance features the developer the app,400,1.1.6,2023-01-08,user_9406,
Fortnite,Games,5.0,Super intuitive and fast Really Really performance Slightly Slightly this update the developer the developer features Slightly performance this update this update Slightly,279,3.3.1,2022-01-27,user_4048,Thank you for your feedback!
Airbnb,Travel,4.0,"Five stars, highly recommend! Extremely Extremely the app",97,5.4.7,2022-07-24,user_3009,
PUBG Mobile,Games,5.0,"Fantastic update, keeps getting better design the app Really the developer design",394,3.5.1,2023-07-18,user_9882,
Lightroom,Photo & Video,5.0,Super intuitive and fast performance this update Very Extremely Very,143,4.0.5,2023-07-22,user_7044,Thank you for your feedback!
Uber,Travel,5.0,Super intuitive and fast Really Slightly,123,4.8.6,2023-02-24,user_2208,
Canva,Photo & Video,4.0,"Best app on my phone, period. the app this update Very design this update this update performance Very this update design design this update Slightly Very",463,2.5.8,2022-10-18,user_2292,
Microsoft Word,Productivity,1.0,Lost all my data after update Very Slightly this update this update Very features Very the developer,147,5.5.9,2022-02-12,user_1464,
Among Us,Games,4.0,Works flawlessly on my iPhone the developer performance the app the developer the app the developer Extremely features,419,4.3.6,2022-11-01,user_8430,
Dropbox,Utilities,1.0,,450,3.5.6,2022-05-14,user_7070,We're working on it.
Uber,Travel,5.0,"Best app on my phone, period. Extremely Very the app Very Really features design the app features features",147,3.9.5,2022-07-14,user_3610,Thank you for your feedback!
PayPal,Finance,5.0,"Fantastic update, keeps getting better design the app Really Slightly the app Extremely this update Really Extremely this update design the developer Extremely Really Very",307,2.4.5,2023-02-17,user_6995,
Headspace,Health & Fitness,5.0,Absolutely love this app! Slightly Extremely Slightly the app this update design,423,5.9.1,2022-05-12,user_2584,Thank you for your feedback!
SoundCloud,Music,4.0,Can't imagine life without it performance Very this update this update Really Very Slightly the app the app the developer this update,337,3.9.5,2022-06-16,user_7438,We're working on it.
Disney+,Entertainment,5.0,Incredible features and smooth UI this update this update the app this update the app Really Slightly Very the app Slightly,266,1.9.7,2022-09-29,user_4728,
Yelp,Food & Drink,4.0,"Fantastic update, keeps getting better this update performance performance Slightly design",472,2.0.9,2023-12-19,user_2800,
Fortnite,Games,3.0,Gets the job done the app the app Extremely this update the developer the app design performance performance this update,414,5.5.7,2023-06-23,user_7173,
Evernote,Productivity,5.0,"Fantastic update, keeps getting better this update the developer design the developer design Extremely the app features Extremely Extremely",98,3.4.3,2023-12-08,user_9011,
Robinhood,Finance,3.0,Has potential but needs polish Extremely this update this update design Slightly Slightly performance Very,143,1.4.1,2022-12-21,user_8247,
Disney+,Entertainment,5.0,"Fantastic update, keeps getting better Extremely this update features the developer Very the developer",499,5.3.3,2022-02-21,user_9700,
eBay,Shopping,4.0,Changed my daily routine for the better Very,1,3.7.1,2023-11-29,user_3252,
Uber,Travel,5.0,Super intuitive and fast the developer design the app the developer performance Extremely Extremely Really performance the developer Extremely performance design,253,1.2.6,2022-06-30,user_1595,Thank you for your feedback!
Venmo,Finance,5.0,Super intuitive and fast design Really this update Very features Extremely features this update the app,36,2.8.7,2022-10-07,user_4159,
Spotify,Music,5.0,Super intuitive and fast the developer performance Really Slightly Extremely the developer Very the developer the developer the app the app Slightly the app Really,8,2.7.5,2022-09-12,user_1111,
MyFitnessPal,Health & Fitness,4.0,Changed my daily routine for the better performance features Slightly performance Really the developer the developer Really Very Slightly the app this update design performance,146,3.1.4,2023-01-12,user_4618,
Notion,Productivity,5.0,"Fantastic update, keeps getting better the app features Slightly performance",130,4.8.3,2022-09-11,user_2341,We're working on it.
Khan Academy,Education,5.0,Great customer support too Really this update Really this update this update this update Very Slightly this update Very Extremely,53,5.7.1,2023-06-07,user_8298,
Coursera,Education,5.0,Super intuitive and fast the app Really the app design performance Slightly design performance this update Really Slightly Really features,407,1.7.0,2022-10-21,user_7698,
Notion,Productivity,,"Five stars, highly recommend! features Slightly design features Slightly the developer the developer this update the developer Slightly Very",112,5.6.8,2022-05-11,user_4648,
Hulu,Entertainment,3.0,"Decent app, does what it says the app performance the app Slightly Extremely the app Very Very design",421,1.0.6,2023-09-22,user_1256,
Instagram,Social Networking,5.0,"Best app on my phone, period. this update the app the developer",253,1.3.0,2023-02-16,user_8191,
Google Maps,Travel,1.0,Keeps freezing on my device Very,472,3.3.9,2022-11-23,user_6253,
Lightroom,Photo & Video,5.0,Super intuitive and fast the app Extremely this update this update performance Very the developer,348,5.7.0,2022-12-19,user_7244,We're working on it.
Canva,Photo & Video,4.0,"Five stars, highly recommend! Very Slightly performance the app design Slightly performance design features this update features this update Very",365,2.4.3,2022-12-05,user_2295,Thank you for your feedback!
SoundCloud,Music,4.0,"Best app on my phone, period. Really Slightly the developer Really Really design",309,5.8.3,2023-05-06,user_4422,
Lightroom,Photo & Video,4.0,Absolutely love this app! features features Very features the app Extremely,444,5.3.6,2022-09-03,user_6269,
MyFitnessPal,Health & Fitness,3.0,Gets the job done Slightly Slightly design the app design performance performance Slightly Extremely Slightly Really,160,2.2.0,2022-09-25,user_7841,
Todoist,Productivity,1.0,Keeps freezing on my device Extremely this update Extremely this update features Slightly performance the app performance performance,397,4.2.5,2022-06-23,user_3293,We're working on it.
Venmo,Finance,,Super intuitive and fast this update,403,1.0.0,2023-02-27,user_3252,
PUBG Mobile,Games,4.0,Super intuitive and fast,391,2.8.7,2023-01-18,user_1990,We're working on it.
eBay,Shopping,5.0,Works flawlessly on my iPhone the developer Really this update the app Really performance this update Extremely this update the developer the app features Very features this update,400,2.3.9,2023-06-24,user_5135,
Snapchat,Social Networking,4.0,"Five stars, highly recommend! Slightly the app",175,5.3.3,2022-11-04,user_2320,
Subway Surfers,Games,2.0,"Buggy and slow, needs a lot of work Slightly the app the developer performance Really design the developer Slightly features features design features",370,2.3.9,2023-05-02,user_5441,
PUBG Mobile,Games,5.0,Incredible features and smooth UI Very,21,3.0.3,2023-08-25,user_3362,Thank you for your feedback!
PUBG Mobile,Games,3.0,Average experience overall this update this update design the developer this update,37,4.2.1,2023-05-28,user_6666,
Candy Crush,Games,5.0,"Five stars, highly recommend! design Slightly performance features Slightly performance Really",50,3.7.7,2022-08-22,user_6829,We're working on it.
MyFitnessPal,Health & Fitness,5.0,"Five stars, highly recommend! the developer the developer Really the developer performance",282,1.1.4,2022-06-07,user_7225,
Disney+,Entertainment,4.0,"Five stars, highly recommend! Slightly Really features the app performance Very Really the app this update this update",276,1.0.1,2022-12-29,user_2524,We're working on it.
Instacart,Food & Drink,4.0,Can't imagine life without it Really the app performance performance this update features Extremely this update the developer Very Extremely Extremely,283,2.1.2,2023-03-22,user_5521,Thank you for your feedback!
Lightroom,Photo & Video,5.0,"Fantastic update, keeps getting better Slightly features",480,4.9.9,2022-07-20,user_8501,
Notion,Productivity,3.0,Average experience overall,316,4.5.9,2023-01-25,user_6399,Thank you for your feedback!
Spotify,Music,4.0,"Five stars, highly recommend! Slightly the developer the developer the app",3,2.6.5,2022-10-26,user_9044,We're working on it.
Facebook,Social Networking,1.0,Support never responds Extremely performance Slightly features Very features Very performance Really performance features Extremely,48,3.1.6,2023-11-21,user_9180,
eBay,Shopping,1.0,Terrible battery drain Extremely Very the app Slightly the app this update this update,171,5.8.6,2023-07-11,user_1602,
Dropbox,Utilities,5.0,Great customer support too Very Extremely,476,3.2.9,2022-02-15,user_7547,
Duolingo,Education,4.0,"Best app on my phone, period.",5,1.4.3,2023-06-07,user_9499,We're working on it.
Yelp,Food & Drink,4.0,Works flawlessly on my iPhone the app Slightly performance this update this update Slightly Really,232,1.4.6,2022-03-29,user_2901,
Apple Music,Music,5.0,,348,3.1.2,2022-09-07,user_9454,
Uber,Travel,4.0,Super intuitive and fast this update features Extremely the app Very the developer the app Really the developer Very,180,5.6.6,2022-01-05,user_4519,
Snapchat,Social Networking,5.0,"Best app on my phone, period. performance this update Slightly",187,2.7.1,2022-09-26,user_9019,We're working on it.
eBay,Shopping,5.0,Can't imagine life without it the developer this update Slightly design the developer design performance Extremely the developer Really Very Very,190,3.1.2,2023-01-18,user_3316,We're working on it.
MyFitnessPal,Health & Fitness,4.0,"Five stars, highly recommend! this update the app the app this update",415,2.8.2,2023-05-17,user_5732,
Evernote,Productivity,5.0,Can't imagine life without it the developer design features the app Very Slightly this update the developer the app the app performance the app Very this update,255,2.4.0,2022-10-09,user_4683,We're working on it.
VSCO,Photo & Video,4.0,Super intuitive and fast this update performance the app this update this update Extremely this update features this update performance performance the app Extremely the app,17,2.4.0,2023-04-06,user_5305,
Subway Surfers,Games,5.0,,222,5.5.9,2023-10-10,user_8015,
Amazon,Shopping,5.0,Super intuitive and fast design design this update this update this update Very,322,3.4.9,2022-10-01,user_9428,
Notion,Productivity,5.0,"Five stars, highly recommend! features",279,2.2.3,2022-05-30,user_6277,
Hulu,Entertainment,3.0,Useful but not without issues Very the developer the developer Slightly Really performance performance the app performance the developer design the app the app this update design,430,1.7.5,2022-03-06,user_9756,Thank you for your feedback!
Instagram,Social Networking,5.0,"Five stars, highly recommend! the app Slightly Extremely this update Very design",449,3.0.0,2022-04-12,user_8529,
Pokemon GO,Games,4.0,Super intuitive and fast the app features the app features features design Slightly design design Really Slightly Really the developer the developer,489,1.6.4,2023-12-18,user_4836,Thank you for your feedback!
Etsy,Shopping,5.0,"Best app on my phone, period. Really the app Very",272,2.8.7,2022-01-10,user_1132,
Pokemon GO,Games,5.0,"Five stars, highly recommend! the app Extremely Really design",392,1.5.5,2022-11-03,user_3246,Thank you for your feedback!
Hulu,Entertainment,5.0,Super intuitive and fast Really this update the developer Very,175,3.3.2,2023-02-26,user_8248,
Subway Surfers,Games,5.0,"Best app on my phone, period. performance this update Slightly features",169,3.2.3,2022-10-11,user_2380,
Uber,Travel,5.0,Works flawlessly on my iPhone performance the developer design the developer Slightly this update this update performance Extremely,354,1.3.7,2023-01-31,user_2847,
Venmo,Finance,4.0,Works flawlessly on my iPhone this update features,407,3.5.2,2023-02-01,user_7895,
Google Maps,Travel,5.0,Super intuitive and fast features performance Really Really Extremely Really Really performance this update the developer this update the app performance Really this update,390,5.2.4,2022-03-27,user_6077,
PayPal,Finance,4.0,Changed my daily routine for the better this update Slightly the developer design,172,1.4.6,2022-09-02,user_1948,
Subway Surfers,Games,3.0,Useful but not without issues the app the developer Slightly,263,2.1.0,2023-12-26,user_3248,
Trello,Productivity,5.0,"Fantastic update, keeps getting better this update performance performance Very Very performance Extremely design performance Really design",399,3.8.1,2022-09-27,user_2262,Thank you for your feedback!
Coursera,Education,2.0,Lost all my data after update Really design Very Very performance design the developer Very performance Really design,370,1.3.0,2023-04-29,user_6963,Thank you for your feedback!
Todoist,Productivity,4.0,Super intuitive and fast this update,91,4.3.5,2022-09-12,user_7819,
Snapchat,Social Networking,5.0,"Best app on my phone, period. Very the developer Really Extremely this update Really the app design design performance Slightly",287,1.8.7,2022-01-09,user_7044,
VSCO,Photo & Video,5.0,Works flawlessly on my iPhone performance Extremely Slightly features features performance performance this update performance,341,2.0.6,2022-01-25,user_4817,We're working on it.
Apple Music,Music,4.0,Absolutely love this app! Really the developer design performance Very this update Extremely the app Really features,185,3.1.0,2022-08-26,user_9515,Thank you for your feedback!
Dropbox,Utilities,4.0,Can't imagine life without it features Really Really Very design Really this update the app features Extremely Extremely Slightly design performance,124,3.5.7,2022-10-06,user_4827,
Microsoft Word,Productivity,5.0,Super intuitive and fast Very Very the app,57,4.1.8,2023-01-02,user_4401,Thank you for your feedback!
Lightroom,Photo & Video,1.0,Not worth the subscription price design Really design Slightly performance the developer Extremely design,179,2.1.3,2022-12-31,user_7492,We're working on it.
Clash of Clans,Games,1.0,Terrible battery drain design Very features design this update this update Really Very,270,2.1.0,2022-03-05,user_4641,
Microsoft Word,Productivity,4.0,"Five stars, highly recommend! the developer features Really this update features Really features Very the developer design Really",443,3.1.0,2023-04-18,user_1829,
DoorDash,Food & Drink,4.0,"Five stars, highly recommend! the app Slightly the app Slightly features Extremely the app Very the developer the developer the developer the app",263,5.7.0,2022-03-31,user_5583,Thank you for your feedback!
Notion,Productivity,5.0,"Five stars, highly recommend! the developer performance Extremely features this update Really",491,4.5.7,2023-07-12,user_8940,
DoorDash,Food & Drink,5.0,Great customer support too Slightly Very Slightly Extremely design performance Really features this update performance,102,2.2.1,2022-09-11,user_4951,
Google Maps,Travel,2.0,"Crashes constantly, very frustrating this update features Slightly features features Very Extremely",364,3.5.9,2022-01-29,user_6761,We're working on it.
DoorDash,Food & Drink,3.0,Works fine most of the time design design features this update Very Really,349,1.3.9,2022-08-13,user_1326,We're working on it.
Robinhood,Finance,4.0,Absolutely love this app! features Extremely Very performance features design Slightly Really this update features,310,1.8.5,2022-03-16,user_7120,Thank you for your feedback!
Yelp,Food & Drink,3.0,OK but could use some improvements Slightly Very Very features performance features the developer Very features the developer,143,5.5.3,2023-11-13,user_3872,Thank you for your feedback!
Lightroom,Photo & Video,,,123,5.0.2,2023-09-09,user_6213,We're working on it.
TikTok,Social Networking,5.0,Works flawlessly on my iPhone features Very performance,146,2.5.5,2022-06-21,user_2453,
Khan Academy,Education,5.0,Absolutely love this app! Extremely the developer Slightly performance performance Really the app the app,318,2.6.7,2023-01-23,user_6754,We're working on it.
MyFitnessPal,Health & Fitness,4.0,"Best app on my phone, period. performance this update performance Extremely the app performance Really Really Extremely Very Slightly design Very Really features",57,1.5.9,2023-09-21,user_8909,
Duolingo,Education,2.0,"Horrible update, they broke everything Very Very Extremely Very the developer performance performance Extremely Extremely Extremely Really this update design",228,2.0.5,2022-01-04,user_8005,
VSCO,Photo & Video,3.0,,317,4.7.7,2023-11-08,user_5341,
Etsy,Shopping,5.0,Great customer support too Very design Slightly the app Extremely the app Extremely Extremely Really performance the developer Really,392,3.8.6,2023-08-27,user_4727,We're working on it.
Clash of Clans,Games,5.0,"Five stars, highly recommend! features the developer features this update Extremely Extremely Slightly design Really this update this update this update features",128,2.1.7,2022-06-27,user_3738,
Microsoft Word,Productivity,3.0,Works fine most of the time the app,0,4.3.2,2023-09-02,user_5225,
YouTube,Entertainment,4.0,"Best app on my phone, period. Slightly Slightly",95,3.4.8,2023-04-15,user_1202,We're working on it.
Yelp,Food & Drink,4.0,Great customer support too Very Very this update this update features Very Very performance performance design design design Extremely,47,4.9.9,2023-04-30,user_1613,
